Purpose_id,Purpose,Project_id
Purpose-m1,Buying groceries,p-1
Purpose-m2,Buying clothing and accessories
Purpose-m3,Buying homeware
Purpose-m4,Buying specialty products
Purpose-m5,Eating out
Purpose-m6,Having a drink
Purpose-m7,Going to the movies
Purpose-m8,Meeting friends I socializing or celebrating
Purpose-m9,Meeting clients I work related purposes
Purpose-m10,Window shopping
Purpose-m11,"Keeping up to date with trends in technology,clothing, homeware, etc."
Purpose-m12,"Other (banking, cash withdrawal, ice skating and paying accounts)"
Purpose-msm1,"To learn about past,art,culture and sculpture",p-2
Purpose-msm2,Having fun
Purpose-msm3,Spend Time with family and friends
Purpose-msm4,To educate students or childrens
Purpose-b1,To collaborate on projects and have face to face discussions,p-3
Purpose-b2,To socialise with colleagues is good for our mental health
Purpose-b3,To make bussines deals
Purpose-b4,To Collaborate or attend meetings
Purpose-b5,To enjoy using better equipment and stronger WiFi – potentially
Purpose-z1,Support the Conservation of Endangered Species,p-4
Purpose-z2,Clean Family Fun
Purpose-z3,Learn About a State's Native Species
Purpose-z4,Learn About Exotic Animals
Purpose-z5,Broaden Your Zoo Experience
Purpose-z6,Take Zoo Selfies
Purpose-z7,Stop and Stretch Your Legs
Purpose-z8,Have a great story to tell family and friends
